"ProductName","ProductInfo","ProductSummary","Cross","OE","Mfr Name","OE Numbers"
"ProductName","ProductInfo","ProductSummary","Cross","OE","Mfr Name","OE Numbers"
"CB90284","Suspension Control Arm","Application Summary: Chevrolet 2007-99, GMC 2007-99","DIRECT INTERCHANGE CROSS","12478068","GENERAL MOTORS","['DIRECT OE CROSS', '12478068:GENERAL MOTORS']"
"520-126","Suspension Control Arm","Application Summary: Chevrolet 2007-99, GMC 2007-99","DIRECT INTERCHANGE CROSS","12478068","GENERAL MOTORS","['DIRECT OE CROSS', '12478068:GENERAL MOTORS']"
"CB90284PR","Suspension Control Arm","Application Summary: Chevrolet 2007-99, GMC 2007-99","DIRECT INTERCHANGE CROSS","12478068","GENERAL MOTORS","['DIRECT OE CROSS', '12478068:GENERAL MOTORS']"
"BJ90035PR","Suspension Ball Joint","Application Summary: Chevrolet 2000-99, GMC 2000-99","DIRECT INTERCHANGE CROSS","15743845","GENERAL MOTORS","['DIRECT OE CROSS', '15743845:GENERAL MOTORS']"
"BJ90035","Suspension Ball Joint","Application Summary: Chevrolet 2000-99, GMC 2000-99","DIRECT INTERCHANGE CROSS","15743845","GENERAL MOTORS","['DIRECT OE CROSS', '15743845:GENERAL MOTORS']"
"520-116","Suspension Control Arm","Application Summary: Cadillac 2006-02, Chevrolet 2014-99, GMC 2014-99","DIRECT INTERCHANGE CROSS","15864153","GENERAL MOTORS","['DIRECT OE CROSS', '12475485:GENERAL MOTORS', '15047200:GENERAL MOTORS', '15864153:GENERAL MOTORS']"
"528-348","Suspension Control Arm","Application Summary: Cadillac 2006-02, Chevrolet 2014-99, GMC 2014-99","DIRECT INTERCHANGE CROSS","15864153","GENERAL MOTORS","['NON-DIRECT OE CROSS', '15864153:GENERAL MOTORS']"
"FEK92119XL","Suspension, Front End Kit","Application Summary: Chevrolet 2007-99, GMC 2007-99","DIRECT INTERCHANGE CROSS","15864153","GENERAL MOTORS","['NON-DIRECT OE CROSS', '10385580:GENERAL MOTORS', '12475485:GENERAL MOTORS', '12546193:GENERAL MOTORS', '15047200:GENERAL MOTORS', '15070821:GENERAL MOTORS', '15167767:GENERAL MOTORS', '15571395:GENERAL MOTORS', '15750786:GENERAL MOTORS', '15840266:GENERAL MOTORS', '15864153:GENERAL MOTORS', '19152329:GENERAL MOTORS', '25747956:GENERAL MOTORS', '26076544:GENERAL MOTORS', '26076545:GENERAL MOTORS']"
"CB90136","Suspension Control Arm","Application Summary: Cadillac 2006-02, Chevrolet 2014-99, GMC 2014-99","DIRECT INTERCHANGE CROSS","15864153","GENERAL MOTORS","['NON-DIRECT OE CROSS', '15864153:GENERAL MOTORS']"
"CB90006","Suspension Control Arm","Application Summary: Cadillac 2006-02, Chevrolet 2014-99, GMC 2014-99","DIRECT INTERCHANGE CROSS","15864153","GENERAL MOTORS","['DIRECT OE CROSS', '12475485:GENERAL MOTORS', '15047200:GENERAL MOTORS', '15864153:GENERAL MOTORS']"
"CB90136PR","Suspension Control Arm","Application Summary: Cadillac 2006-02, Chevrolet 2014-99, GMC 2014-99","DIRECT INTERCHANGE CROSS","15864153","GENERAL MOTORS","['NON-DIRECT OE CROSS', '15864153:GENERAL MOTORS']"
